ID,stint,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,weight,height,bats,throws,salary
2014lackejo01,1,BOS,AL,11,7,21,21,1,0,0,412,137,55,15,32,116,0.256,3.6,0.0,3,0.0,1,572.0,0,60,2.0,3.0,12.0,235.0,78.0,R,R,15250000.0
2014lackejo01,2,SLN,NL,3,3,10,10,0,0,0,182,69,29,9,15,48,0.286,4.3,1.0,1,1.0,1,261.0,0,34,4.0,0.0,7.0,235.0,78.0,R,R,15250000.0
2014lannajo01,1,NYN,NL,1,0,5,0,0,0,0,12,7,7,3,2,2,0.368,15.75,0.0,1,0.0,0,21.0,3,7,0.0,0.0,0.0,235.0,76.0,L,L,1500000.0
2014latosma01,1,CIN,NL,5,5,16,16,0,0,0,307,92,37,9,26,74,0.24,3.25,2.0,1,2.0,0,420.0,0,42,8.0,1.0,6.0,245.0,78.0,R,R,7250000.0
2014leagubr01,1,LAN,NL,2,3,63,0,0,0,0,189,65,18,0,27,38,0.278,2.57,5.0,4,4.0,0,273.0,12,23,4.0,3.0,15.0,200.0,74.0,R,R,7500000.0
2014leakemi01,1,CIN,NL,11,13,33,33,0,0,0,643,217,88,23,50,164,0.263,3.7,3.0,4,13.0,0,902.0,0,93,7.0,7.0,20.0,165.0,70.0,R,R,5925000.0
2014lecursa01,1,CIN,NL,1,4,62,0,0,0,0,170,62,24,6,24,48,0.283,3.81,1.0,5,3.0,0,251.0,16,27,2.0,3.0,6.0,210.0,72.0,R,R,1200000.0
2014leecl02,1,PHI,NL,4,5,13,13,1,0,0,244,100,33,7,12,72,0.304,3.65,0.0,1,1.0,0,352.0,0,40,7.0,3.0,4.0,205.0,75.0,L,L,25000000.0
2014lestejo01,1,BOS,AL,10,7,21,21,0,0,0,429,128,40,9,32,149,0.238,2.52,0.0,2,4.0,0,580.0,0,52,5.0,2.0,15.0,249.0,76.0,L,L,13000000.0
2014lestejo01,2,OAK,AL,6,4,11,11,1,1,0,230,66,20,7,16,71,0.232,2.35,0.0,1,1.0,0,305.0,0,24,1.0,3.0,6.0,249.0,76.0,L,L,13000000.0
2014linceti01,1,SFN,NL,12,9,33,26,1,1,1,467,154,82,19,63,134,0.258,4.74,0.0,15,5.0,1,673.0,3,86,4.0,4.0,11.0,170.0,71.0,L,R,17000000.0
2014lincobr01,1,PHI,NL,0,0,2,0,0,0,0,7,5,3,1,0,2,0.417,11.57,0.0,0,1.0,0,13.0,1,3,0.0,0.0,0.0,225.0,72.0,L,R,512300.0
2014lindsma01,1,CHA,AL,2,2,35,0,0,0,6,102,47,19,3,12,18,0.338,5.03,0.0,3,1.0,0,158.0,23,23,4.0,2.0,6.0,215.0,75.0,R,R,4000000.0
