playerID,yearID,stint,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,salary,birthYear,birthMonth,weight,height,throws,debut
madsory01,2016,1,OAK,AL,6,7,63,0,0,0,30,194,63,26,7,20,49,0.257,3.62,3.0,4,2.0,1,270.0,53,27,2.0,1.0,8.0,6666667.0,1980.0,8.0,234.0,78.0,R,2003-09-27
maedake01,2016,1,LAN,NL,16,11,32,32,0,0,0,527,150,68,20,50,179,0.229,3.48,6.0,6,8.0,0,716.0,0,72,0.0,3.0,10.0,3125000.0,1988.0,4.0,185.0,73.0,R,2016-04-06
manesse01,2016,1,SLN,NL,2,2,29,0,0,0,0,95,34,12,2,8,16,0.274,3.41,2.0,2,0.0,0,134.0,13,14,1.0,1.0,4.0,1400000.0,1988.0,10.0,190.0,72.0,R,2013-05-03
manshje01,2016,1,CLE,AL,2,1,53,0,0,0,0,130,40,15,7,22,36,0.241,3.12,2.0,0,0.0,0,189.0,8,20,0.0,1.0,5.0,765000.0,1985.0,1.0,205.0,74.0,R,2009-08-15
martica04,2016,1,SLN,NL,16,9,31,31,0,0,0,586,169,66,15,70,174,0.233,3.04,1.0,8,11.0,0,809.0,0,68,2.0,2.0,33.0,539000.0,1991.0,9.0,200.0,72.0,R,2013-05-03
matusbr01,2016,1,BAL,AL,0,0,7,0,0,0,0,18,11,8,3,7,1,0.407,12.0,0.0,0,0.0,0,35.0,2,8,0.0,1.0,1.0,3900000.0,1987.0,2.0,190.0,77.0,L,2009-08-04
matzst01,2016,1,NYN,NL,9,8,22,22,0,0,0,397,129,50,14,31,129,0.257,3.4,2.0,3,5.0,1,547.0,0,53,8.0,1.0,8.0,515750.0,1991.0,5.0,201.0,74.0,L,2015-06-28
maurebr01,2016,1,SDN,NL,0,5,71,0,0,0,13,209,65,35,7,23,72,0.238,4.52,5.0,3,2.0,0,300.0,36,37,0.0,1.0,2.0,526400.0,1990.0,7.0,225.0,77.0,R,2013-04-04
mcallza01,2016,1,CLE,AL,3,2,53,2,0,0,0,157,53,20,6,23,54,0.256,3.44,2.0,3,2.0,0,233.0,11,21,1.0,0.0,1.0,1300000.0,1987.0,12.0,240.0,78.0,R,2011-07-07
mccarbr01,2016,1,LAN,NL,2,3,10,9,0,0,0,120,29,22,2,26,44,0.207,4.95,1.0,2,2.0,0,171.0,0,24,1.0,2.0,3.0,12500000.0,1983.0,7.0,225.0,80.0,R,2005-05-22
mcculla02,2016,1,HOU,AL,6,5,14,14,0,0,0,243,80,29,5,45,106,0.261,3.22,1.0,9,0.0,2,352.0,0,29,0.0,0.0,10.0,516700.0,1993.0,10.0,202.0,73.0,R,2015-05-18
mcfartj01,2016,1,BAL,AL,2,2,16,0,0,0,0,74,33,19,3,10,7,0.34,6.93,2.0,1,2.0,0,112.0,2,19,0.0,3.0,6.0,523500.0,1989.0,6.0,200.0,75.0,L,2013-04-06
