Year,Full Name,Age,Salary,ERA,Hits,Earned Runs,Strike Outs,Home Runs,Wins,Losses,Outs Pitched,Batters Faced by Pitcher,Games Finished,Weight,Height,League,Team,Games Started
1990,WalkBob,34.0,850000.0,3.75,136,54,73,17,7,5,389,549.0,1,185.0,75.0,NL,PIT,24
1990,WalkerMike,24.0,100000.0,4.88,82,41,34,6,2,6,227,350.0,2,195.0,74.0,AL,CLE,11
1990,WelchBob,34.0,1133334.0,2.95,214,78,127,26,27,6,714,979.0,0,190.0,75.0,AL,OAK,35
1990,WellsDavid,27.0,275000.0,3.14,165,66,115,14,11,6,567,759.0,8,187.0,75.0,AL,TOR,25
1990,WestDavid,26.0,100000.0,5.1,142,83,92,21,7,9,439,646.0,0,205.0,78.0,AL,MIN,27
1990,WhitsonEd,35.0,1125000.0,2.6,215,66,127,13,14,9,686,918.0,0,195.0,75.0,NL,SDN,32
1990,WilsonSteve,26.0,148000.0,4.79,140,74,95,17,4,9,417,597.0,5,205.0,76.0,NL,CHN,15
1990,WilsonTrevor,24.0,122000.0,4.0,87,49,66,11,8,7,331,457.0,3,190.0,72.0,NL,SFN,17
1990,WittBobby,26.0,415000.0,3.36,197,83,221,12,17,10,666,954.0,1,190.0,74.0,AL,TEX,32
1990,YoungCurt,30.0,675000.0,4.85,124,67,56,17,9,6,373,527.0,0,175.0,73.0,AL,OAK,21
1990,YoungMatt,32.0,587000.0,3.51,198,88,176,15,8,18,676,963.0,0,205.0,75.0,AL,SEA,33
1991,AbbottJim,24.0,357500.0,2.89,222,78,158,14,18,11,729,1002.0,0,200.0,75.0,AL,CAL,34
1991,AlvarezWilson,21.0,100000.0,3.51,47,22,32,9,3,2,169,237.0,0,175.0,73.0,AL,CHA,9
1991,AndersonAllan,27.0,785000.0,4.96,148,74,51,24,5,11,403,584.0,4,178.0,71.0,AL,MIN,22
1991,AppierKevin,24.0,215000.0,3.42,205,79,158,13,13,10,623,881.0,1,180.0,74.0,AL,KCA,31
1991,AquinoLuis,27.0,160000.0,3.44,152,60,80,10,8,4,471,661.0,9,155.0,72.0,AL,KCA,18
1991,ArmstrongJack,26.0,215000.0,5.48,158,85,93,25,7,13,419,611.0,1,220.0,77.0,NL,CIN,24
1991,AverySteve,21.0,110000.0,3.38,189,79,137,21,18,8,631,868.0,0,180.0,76.0,NL,ATL,35
1991,BallardJeff,28.0,465000.0,5.6,153,77,37,16,6,12,371,540.0,1,195.0,75.0,AL,BAL,22
1991,BankheadScott,28.0,755000.0,4.9,73,33,28,8,3,6,182,271.0,2,175.0,70.0,AL,SEA,9
1991,BarfieldJohn,27.0,110000.0,4.54,96,42,27,11,4,4,250,361.0,4,195.0,73.0,AL,TEX,9
1991,BarnesBrian,24.0,103500.0,4.22,135,75,117,16,5,8,480,684.0,0,170.0,69.0,NL,MON,27
1991,BelcherTim,30.0,900000.0,2.62,189,61,156,10,10,9,628,880.0,0,210.0,75.0,NL,LAN,33
1991,BenesAndy,24.0,235000.0,3.03,194,75,167,23,15,11,669,908.0,0,235.0,78.0,NL,SDN,33
1991,BieleckiMike,32.0,810000.0,4.5,169,86,72,18,13,11,516,718.0,8,195.0,75.0,NL,CHN,25
1991,BlackBuddy,34.0,1750000.0,3.99,201,95,104,25,12,16,643,893.0,0,180.0,74.0,NL,SFN,34
1991,BoddickerMike,34.0,3166667.0,4.08,188,82,79,13,12,12,542,775.0,1,172.0,71.0,AL,KCA,29
1991,BohanonBrian,23.0,105000.0,4.84,66,33,34,4,4,3,184,273.0,0,210.0,74.0,AL,TEX,11
1991,BoltonTom,29.0,290000.0,5.24,136,64,64,16,8,9,330,499.0,4,172.0,74.0,AL,BOS,19
1991,BosioChris,28.0,875000.0,3.25,187,74,117,15,14,10,614,840.0,0,220.0,75.0,AL,ML4,32
1991,BoskieShawn,24.0,130000.0,5.23,150,75,62,14,4,9,387,582.0,2,205.0,75.0,NL,CHN,20
1991,BoydOil Can,32.0,1500000.0,3.52,115,47,82,9,6,8,361,496.0,0,155.0,73.0,NL,MON,19
1991,BrownKevin,26.0,355000.0,4.4,233,103,96,17,9,12,632,934.0,0,195.0,76.0,AL,TEX,33
1991,BrowningTom,31.0,2425000.0,4.18,241,107,115,32,14,14,691,983.0,0,190.0,73.0,NL,CIN,36
1991,BurkettJohn,27.0,230000.0,4.18,223,96,131,19,12,11,620,890.0,0,175.0,74.0,NL,SFN,34
1991,CandiottiTom,34.0,2500000.0,2.24,88,27,86,6,7,6,325,442.0,0,205.0,75.0,AL,CLE,15
1991,CaryChuck,31.0,570000.0,5.91,61,35,34,6,1,6,160,247.0,0,210.0,76.0,AL,NYA,9
1991,CeruttiJohn,31.0,800000.0,4.57,94,45,29,9,3,6,266,389.0,10,195.0,74.0,AL,DET,8
1991,CharltonNorm,28.0,625000.0,2.91,92,35,77,6,3,5,325,438.0,10,195.0,75.0,NL,CIN,11
1991,ClemensRoger,29.0,2700000.0,2.62,219,79,241,15,18,10,814,1077.0,0,205.0,76.0,AL,BOS,35
1991,CombsPat,25.0,220000.0,4.9,64,35,41,7,2,6,193,300.0,0,200.0,75.0,NL,PHI,13
1991,ConeDavid,28.0,2350000.0,3.29,204,85,241,13,14,14,698,966.0,0,180.0,73.0,NL,NYN,34
1991,CoxDanny,32.0,520000.0,4.57,98,52,46,14,4,6,307,433.0,2,235.0,76.0,NL,PHI,17
1991,DarlingRon,31.0,1966667.0,3.87,96,44,58,9,5,6,307,427.0,0,195.0,75.0,NL,NYN,17
