ERA,Hits,Earned Runs,Strike Outs,Home Runs,Wins,Losses,Outs Pitched,Batters Faced by Pitcher,Games Finished,Weight,Height,Games Started,salBin_low,salBin_mid,salBin_high,salBin_top
4.13,228,97,109,15,10,15,634,914,0,200,75,33,1,0,0,0
3.92,237,102,114,18,15,12,702,1002,0,210,76,34,0,1,0,0
3.54,145,54,76,6,2,11,412,578,4,190,74,16,1,0,0,0
11.05,37,27,15,6,3,2,66,111,0,205,75,6,1,0,0,0
3.18,181,67,120,15,12,9,568,802,0,185,73,31,0,1,0,0
3.71,148,69,91,13,11,7,502,688,2,185,73,24,1,0,0,0
3.75,69,34,64,12,6,3,245,347,8,165,75,7,1,0,0,0
3.12,111,47,128,15,8,7,407,553,16,180,76,8,1,0,0,0
3.18,68,26,41,7,2,4,221,299,0,162,74,14,0,1,0,0
4.94,66,30,18,9,2,3,164,240,1,185,76,6,0,1,0,0
4.29,92,44,61,12,2,7,277,402,25,205,77,10,0,1,0,0
4.76,128,59,103,18,2,5,335,521,6,210,77,8,0,1,0,0
4.49,163,84,120,19,10,12,505,710,3,170,72,27,0,1,0,0
3.74,155,61,75,12,6,13,440,633,0,230,79,24,0,1,0,0
8.0,47,32,23,4,0,3,108,174,0,220,74,8,1,0,0,0
2.51,165,57,172,8,15,6,613,825,0,200,73,30,0,1,0,0
4.38,123,59,78,12,5,9,364,525,7,225,76,16,0,1,0,0
5.18,119,60,65,12,4,9,313,472,0,210,78,19,0,1,0,0
5.42,121,66,73,14,10,10,329,511,20,200,73,9,1,0,0,0
2.91,102,56,203,12,12,6,519,683,0,170,74,27,0,1,0,0
3.07,165,67,136,12,13,8,589,789,0,160,73,28,0,1,0,0
4.0,96,41,52,13,9,5,277,409,8,185,73,8,1,0,0,0
3.81,200,88,130,22,16,10,624,837,0,195,77,34,0,1,0,0
4.27,82,41,67,7,5,4,259,385,7,195,77,8,1,0,0,0
8.41,52,38,32,8,1,2,122,201,4,190,73,5,1,0,0,0
5.92,62,34,20,5,1,2,155,231,6,185,73,5,0,1,0,0
3.08,194,71,129,17,20,8,623,836,0,180,76,32,0,1,0,0
3.85,188,85,94,16,12,9,596,818,0,200,74,31,0,1,0,0
5.06,48,27,29,5,1,3,144,211,2,185,74,10,1,0,0,0
3.2,234,81,120,15,16,10,684,916,0,185,74,35,0,1,0,0
3.8,206,97,148,16,14,13,689,947,0,210,75,36,1,0,0,0
5.18,245,130,144,24,11,11,678,1014,0,200,74,35,0,1,0,0
3.17,52,21,29,4,4,3,179,244,0,185,72,9,0,1,0,0
3.78,194,92,116,21,15,8,657,921,0,195,75,34,1,0,0,0
4.1,96,44,52,4,6,5,290,422,0,215,79,18,0,1,0,0
3.48,241,92,169,21,9,16,714,971,0,225,74,33,0,1,0,0
3.77,217,91,107,26,13,12,652,920,0,180,74,33,0,1,0,0
2.99,225,81,135,23,16,9,732,974,0,180,72,34,1,0,0,0
4.24,257,103,80,16,12,14,656,954,1,205,74,33,0,1,0,0
3.25,206,69,75,13,11,12,573,798,0,200,76,30,1,0,0,0
3.16,94,38,85,6,11,6,325,463,17,205,76,3,1,0,0,0
2.98,170,58,104,9,8,7,525,736,0,179,71,27,1,0,0,0
3.97,259,102,132,25,13,15,694,980,0,200,76,35,0,1,0,0
3.6,104,46,67,10,9,2,345,484,0,185,75,20,0,1,0,0
2.84,176,61,89,16,15,7,580,785,0,200,77,28,1,0,0,0
4.58,220,112,101,25,12,13,660,950,0,190,75,35,0,1,0,0
3.72,188,82,106,24,15,10,595,811,3,187,75,28,0,1,0,0
4.54,66,36,52,13,4,4,214,305,0,205,78,12,1,0,0,0
4.19,142,62,87,12,7,12,400,556,6,180,75,20,1,0,0,0
5.03,93,44,40,13,4,6,236,337,0,195,75,12,0,1,0,0
6.09,84,60,82,4,3,7,266,413,0,190,74,16,0,1,0,0
5.18,92,51,69,4,3,7,266,404,1,205,75,16,0,1,0,0
2.77,208,65,130,12,7,15,633,874,0,200,75,29,0,1,0,0
5.13,147,76,88,20,1,14,400,577,0,200,76,19,1,0,0,0
6.78,80,49,34,12,3,8,195,304,0,195,76,13,1,0,0,0
5.2,103,58,66,12,5,3,301,455,4,175,73,9,1,0,0,0
2.46,167,57,150,10,15,8,625,852,0,180,74,30,1,0,0,0
4.52,81,34,11,5,3,6,203,293,1,155,72,13,0,1,0,0
4.64,176,86,114,23,6,15,500,735,5,220,77,23,1,0,0,0
7.54,42,31,24,6,1,3,111,171,0,180,73,8,1,0,0,0
3.2,216,83,129,14,11,11,701,969,0,180,76,35,1,0,0,0
5.7,80,45,37,6,4,4,213,324,2,190,73,12,1,0,0,0
3.91,201,99,149,17,15,14,683,949,1,210,75,34,0,1,0,0
3.35,230,86,169,14,13,14,694,961,0,235,78,34,1,0,0,0
2.57,77,23,62,2,2,4,242,336,0,195,75,14,0,1,0,0
3.97,178,78,82,23,10,12,531,749,0,180,74,28,0,1,0,0
4.0,74,35,48,5,5,7,236,331,1,185,73,8,1,0,0,0
4.74,150,70,70,17,8,12,399,568,0,200,75,24,0,1,0,0
4.98,92,48,47,5,1,4,260,392,8,172,71,8,0,1,0,0
4.57,169,83,65,27,9,10,490,705,0,200,70,28,1,0,0,0
3.62,223,93,120,21,16,6,694,937,0,220,75,33,0,1,0,0
5.01,96,51,39,14,5,11,275,393,2,205,75,18,1,0,0,0
6.37,48,29,17,9,2,2,123,184,0,195,73,7,1,0,0,0
10.96,48,41,22,8,0,7,101,179,2,185,72,9,1,0,0,0
2.95,67,30,86,8,7,7,275,381,32,180,71,4,0,1,0,0
3.32,262,98,173,11,21,11,797,1108,0,195,76,35,0,1,0,0
5.07,108,49,33,6,6,5,261,386,0,190,73,16,0,1,0,0
4.97,80,39,47,4,2,7,212,318,4,220,76,11,1,0,0,0
