ID,playerID,yearID,stint,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP
2010chenbr01,chenbr01,2010,1,KCA,AL,12,7,33,23,1,1,1,421,136,65,17,57,98,0.254,4.17,4.0,3,3.0,0,608.0,4,68,6.0,7.0,8.0
2010chicoma01,chicoma01,2010,1,WAS,NL,0,0,1,1,0,0,0,15,6,2,0,0,3,0.286,3.6,0.0,1,1.0,0,22.0,0,2,0.0,0.0,0.0
2010choatra01,choatra01,2010,1,TBA,AL,4,3,85,0,0,0,0,134,41,21,3,17,40,0.252,4.23,5.0,4,3.0,0,187.0,8,23,2.0,2.0,8.0
2010cishest01,cishest01,2010,1,FLO,NL,0,0,3,0,0,0,0,13,1,0,0,1,3,0.071,0.0,0.0,0,0.0,0,15.0,2,0,0.0,0.0,0.0
2010clippty01,clippty01,2010,1,WAS,NL,11,8,78,0,0,0,1,273,69,31,8,41,112,0.212,3.07,4.0,1,2.0,1,378.0,18,33,3.0,7.0,6.0
2010coellro01,coellro01,2010,1,BOS,AL,0,0,6,0,0,0,0,17,4,3,0,5,5,0.19,4.76,0.0,1,0.0,0,26.0,2,3,0.0,0.0,0.0
2010coffeto01,coffeto01,2010,1,MIL,NL,2,4,69,0,0,0,0,187,65,33,8,23,56,0.27,4.76,5.0,6,3.0,0,274.0,12,40,2.0,5.0,2.0
2010cokeph01,cokeph01,2010,1,DET,AL,7,5,74,1,0,0,2,194,67,27,2,26,53,0.275,3.76,4.0,3,4.0,0,279.0,18,29,2.0,3.0,10.0
2010colemca01,colemca01,2010,1,CHN,NL,4,2,12,8,0,0,0,171,56,26,3,25,27,0.26,4.11,2.0,3,2.0,0,248.0,0,27,2.0,4.0,9.0
2010colomje01,colomje01,2010,1,SEA,AL,0,1,12,0,0,0,0,51,15,10,1,11,16,0.242,5.29,0.0,3,1.0,0,77.0,1,10,0.0,3.0,1.0
2010colonro01,colonro01,2010,1,KCA,AL,0,0,5,0,0,0,0,6,5,4,0,2,1,0.455,18.0,0.0,0,1.0,0,14.0,2,4,0.0,0.0,0.0
2010contrjo01,contrjo01,2010,1,PHI,NL,6,4,67,0,0,0,4,170,53,21,5,16,57,0.255,3.34,2.0,0,4.0,0,233.0,21,22,4.0,1.0,5.0
2010cookaa01,cookaa01,2010,1,COL,NL,6,8,23,23,2,0,0,383,147,72,11,52,62,0.29,5.08,4.0,3,4.0,1,572.0,0,77,3.0,6.0,18.0
2010cordech01,cordech01,2010,1,SEA,AL,0,1,9,0,0,0,0,29,10,7,1,5,6,0.313,6.52,0.0,1,1.0,0,41.0,4,7,1.0,2.0,1.0
2010cordefr01,cordefr01,2010,1,CIN,NL,6,5,75,0,0,0,40,218,68,31,5,36,59,0.246,3.84,1.0,2,2.0,0,316.0,64,32,1.0,1.0,7.0
2010cormila01,cormila01,2010,1,TBA,AL,4,3,60,0,0,0,0,186,68,27,7,34,30,0.281,3.92,3.0,3,0.0,1,279.0,17,28,2.0,1.0,8.0
2010corpama01,corpama01,2010,1,COL,NL,3,5,56,0,0,0,10,187,66,32,7,22,47,0.269,4.62,5.0,1,2.0,0,274.0,27,33,2.0,3.0,6.0
2010correke01,correke01,2010,1,SDN,NL,10,10,28,26,0,0,0,435,152,87,20,64,115,0.271,5.4,6.0,3,5.0,0,641.0,0,89,6.0,5.0,11.0
2010corteda02,corteda02,2010,1,SEA,AL,0,1,4,0,0,0,0,16,3,2,0,3,6,0.158,3.38,0.0,2,0.0,0,23.0,2,3,0.0,1.0,0.0
2010crainje01,crainje01,2010,1,MIN,AL,1,1,71,0,0,0,1,204,53,23,5,27,62,0.215,3.04,4.0,3,1.0,0,278.0,16,27,3.0,0.0,6.0
2010cramebo01,cramebo01,2010,1,OAK,AL,2,1,4,4,0,0,0,71,20,8,5,6,13,0.233,3.04,0.0,0,0.0,0,93.0,0,8,1.0,0.0,2.0
2010cruzju02,cruzju02,2010,1,KCA,AL,0,0,5,0,0,0,0,16,9,2,0,4,7,0.391,3.38,0.0,0,0.0,0,28.0,1,2,1.0,0.0,0.0
